id,date,value,factor,pct_change,method,return
1183,1969-07-01,673.22,0.98902290484537,-1.0977095154629968,No Compounding,16884.822197795667
1183,1969-07-01,673.22,0.98902290484537,-1.0977095154629968,Compounding,37282.35712581736
1183,1969-07-01,673.22,0.98902290484537,-1.0977095154629968,Buy the Dip,43333.443801174675
1184,1969-08-01,665.83,1.0007959989787183,0.0795998978718293,No Compounding,18379.316041632246
1184,1969-08-01,665.83,1.0007959989787183,0.0795998978718293,Compounding,40582.25881003675
1184,1969-08-01,665.83,1.0007959989787183,0.0795998978718293,Buy the Dip,46651.155827017654
1185,1969-09-01,666.36,1.0052674230145866,0.5267423014586603,No Compounding,18986.133621465873
1185,1969-09-01,666.36,1.0052674230145866,0.5267423014586603,Compounding,41922.13609488817
1185,1969-09-01,666.36,1.0052674230145866,0.5267423014586603,Buy the Dip,48229.76613369533
1186,1969-10-01,669.87,1.0018511054383687,0.18511054383687497,No Compounding,19285.98086195829
1186,1969-10-01,669.87,1.0018511054383687,0.18511054383687497,Compounding,42584.21069492089
1186,1969-10-01,669.87,1.0018511054383687,0.18511054383687497,Buy the Dip,49249.51560734004
1187,1969-11-01,671.11,0.9419767251270282,-5.802327487297177,No Compounding,19604.386762229737
1187,1969-11-01,671.11,0.9419767251270282,-5.802327487297177,Compounding,43287.26355184924
1187,1969-11-01,671.11,0.9419767251270282,-5.802327487297177,Buy the Dip,51158.38750616627
1188,1969-12-01,632.17,0.988594839995571,-1.1405160004429038,No Compounding,21276.23898634861
1188,1969-12-01,632.17,0.988594839995571,-1.1405160004429038,Compounding,46978.77957440642
1188,1969-12-01,632.17,0.988594839995571,-1.1405160004429038,Buy the Dip,52299.6301227084
1189,1970-01-01,624.96,0.9600454429083461,-3.9954557091653853,No Compounding,21703.30901177675
1189,1970-01-01,624.96,0.9600454429083461,-3.9954557091653853,Compounding,47921.76712969276
1189,1970-01-01,624.96,0.9600454429083461,-3.9954557091653853,Buy the Dip,52740.96244631156
1190,1970-02-01,599.99,1.0117668627810463,1.1766862781046328,No Compounding,21908.53180886348
1190,1970-02-01,599.99,1.0117668627810463,1.1766862781046328,Compounding,48374.90720553824
1190,1970-02-01,599.99,1.0117668627810463,1.1766862781046328,Buy the Dip,51112.5044980736
1191,1970-03-01,607.05,0.9619800675397415,-3.8019932460258477,No Compounding,22810.47689646652
1191,1970-03-01,607.05,0.9619800675397415,-3.8019932460258477,Compounding,50366.43773336832
1191,1970-03-01,607.05,0.9619800675397415,-3.8019932460258477,Buy the Dip,53842.93231863879
1192,1970-04-01,583.97,0.8826480812370499,-11.735191876295016,No Compounding,24601.092521876126
1192,1970-04-01,583.97,0.8826480812370499,-11.735191876295016,Compounding,54320.18805656125
1192,1970-04-01,583.97,0.8826480812370499,-11.735191876295016,Buy the Dip,55861.784674716044
1193,1970-05-01,515.44,0.9886892751823684,-1.1310724817631623,No Compounding,26169.486264162657
